model,accuracy-train,precision-train,recall-train,f1-train,accuracy-test,precision-test,recall-test,f1-test,accuracy-validation,precision-validation,recall-validation,f1-validation
MLP,0.9654791666666667,0.9566925585707975,0.9441487092428407,0.945116975434379,0.897,0.8762828586128251,0.8739071655057137,0.8738534557929366,0.8938333333333334,0.8725698436590408,0.8701096147282168,0.8699515045082346
SVM,0.9852083333333334,0.9821207478384731,0.974056495127379,0.9768058506599926,0.9156666666666666,0.8939619254627506,0.8916001137217032,0.8924083837777628,0.9123333333333333,0.8911930970001701,0.8885749556258788,0.8891172204060748
KNN,0.85025,0.8508721959230771,0.8322857078012397,0.8355586253971683,0.8336666666666667,0.8342827752969222,0.8111046134094491,0.8151715482339514,0.8301666666666667,0.8295077724582085,0.8090952968872382,0.812273248102305
XGB,0.8113958333333333,0.7990533125376174,0.7970446503960316,0.7972066027233696,0.7925,0.7741620410176173,0.7713956023696023,0.7714862205888777,0.7753333333333333,0.7560530909272056,0.7550885464774806,0.7546075857214151
Random Forest,0.964125,0.9657802540070488,0.9418358197516472,0.9419360726154706,0.8495,0.8501376451634826,0.8494651307012725,0.8475729998057431,0.8465,0.8473158941685967,0.8471608816231526,0.8447987170813482
Decision Tree,0.661625,0.6911862390107644,0.6466886557776651,0.6554407591803919,0.5401666666666667,0.5473655936482031,0.5262212371495302,0.528443948408797,0.545,0.5547792493109152,0.5311067134859346,0.5346350570260593
Logistic Regression,0.9984166666666666,0.9984545465762804,0.9985307717111027,0.998491698039876,0.8343333333333334,0.8175893879588846,0.8134258727170056,0.8148292205510099,0.8373333333333334,0.8199452247856687,0.8158660671165457,0.8169739822574345
